Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
285,Damion Lee,SG,30,PHO,74,5,1506,200,452,0.442,110,247,0.445,90,205,0.439,0.564,94,104,0.904,39,186,225,99,30,7,78,118,604
286,Saben Lee,PG,23,TOT,25,1,373,49,121,0.405,11,30,0.367,38,91,0.418,0.45,42,57,0.737,13,32,45,67,19,1,24,32,151
286,Saben Lee,PG,23,PHI,2,0,10,3,4,0.75,0,1,0,3,3,1,0.75,0,0,,0,0,0,2,1,0,3,1,6
286,Saben Lee,PG,23,PHO,23,1,363,46,117,0.393,11,29,0.379,35,88,0.398,0.44,42,57,0.737,13,32,45,65,18,1,21,31,145
287,Alex Len,C,29,SAC,26,2,161,16,30,0.533,0,2,0,16,28,0.571,0.533,11,16,0.688,24,36,60,12,4,11,16,28,43
288,Kawhi Leonard,SF,31,LAC,52,50,1748,446,871,0.512,104,250,0.416,342,621,0.551,0.572,243,279,0.871,57,281,338,204,72,28,88,84,1239
289,Meyers Leonard,C,30,MIL,9,2,114,14,29,0.483,7,18,0.389,7,11,0.636,0.603,8,9,0.889,12,22,34,1,2,0,6,16,43
290,Caris LeVert,SG,28,CLE,74,30,2237,320,742,0.431,127,324,0.392,193,418,0.462,0.517,130,180,0.722,53,229,282,287,72,24,116,170,897
291,Kira Lewis Jr.,PG,21,NOP,25,0,235,40,88,0.455,15,34,0.441,25,54,0.463,0.54,19,22,0.864,5,28,33,23,10,2,10,24,114
292,Damian Lillard,PG,32,POR,58,58,2107,556,1202,0.463,244,658,0.371,312,544,0.574,0.564,510,558,0.914,44,233,277,425,50,18,191,109,1866
293,Nassir Little,SF,22,POR,54,4,976,134,303,0.442,58,158,0.367,76,145,0.524,0.538,33,46,0.717,27,114,141,50,20,20,36,66,359
294,Isaiah Livers,PF,24,DET,52,22,1199,120,288,0.417,74,203,0.365,46,85,0.541,0.545,32,39,0.821,28,115,143,41,28,28,30,103,346
295,Kenneth Lofton Jr.,PF,20,MEM,24,1,176,49,93,0.527,6,17,0.353,43,76,0.566,0.559,16,27,0.593,19,32,51,20,5,2,12,28,120
296,Kevon Looney,C,26,GSW,82,70,1958,242,384,0.63,0,1,0,242,383,0.632,0.63,94,155,0.606,274,486,760,207,52,50,45,225,578
297,Brook Lopez,C,34,MIL,78,78,2373,477,899,0.531,136,364,0.374,341,535,0.637,0.606,149,190,0.784,157,363,520,99,37,193,107,203,1239
298,Robin Lopez,C,34,CLE,37,2,299,48,75,0.64,2,4,0.5,46,71,0.648,0.653,14,18,0.778,23,28,51,19,2,8,25,43,112
299,Kevin Love,PF,34,TOT,62,20,1240,165,424,0.389,99,296,0.334,66,128,0.516,0.506,80,91,0.879,59,340,399,116,16,12,70,97,509
299,Kevin Love,PF,34,CLE,41,3,821,111,285,0.389,69,195,0.354,42,90,0.467,0.511,56,63,0.889,42,238,280,76,7,7,47,65,347
299,Kevin Love,PF,34,MIA,21,17,419,54,139,0.388,30,101,0.297,24,38,0.632,0.496,24,28,0.857,17,102,119,40,9,5,23,32,162
300,Kyle Lowry,PG,36,MIA,55,44,1718,196,485,0.404,107,310,0.345,89,175,0.509,0.514,116,135,0.859,43,182,225,281,57,21,103,143,615
301,Trey Lyles,PF,27,SAC,74,0,1247,187,408,0.458,87,240,0.363,100,168,0.595,0.565,101,124,0.815,68,232,300,66,27,31,64,97,562
302,Théo Maledon,PG,21,CHO,44,7,854,102,254,0.402,28,95,0.295,74,159,0.465,0.457,63,74,0.851,14,109,123,152,37,12,59,61,295
303,Sandro Mamukelashvili,C,23,TOT,43,7,660,97,230,0.422,30,99,0.303,67,131,0.511,0.487,39,57,0.684,70,115,185,62,14,12,35,52,263
303,Sandro Mamukelashvili,C,23,MIL,24,0,217,19,58,0.328,7,32,0.219,12,26,0.462,0.388,12,18,0.667,18,38,56,16,4,5,9,19,57
303,Sandro Mamukelashvili,C,23,SAS,19,7,443,78,172,0.453,23,67,0.343,55,105,0.524,0.52,27,39,0.692,52,77,129,46,10,7,26,33,206
304,Terance Mann,SG,26,LAC,81,36,1872,272,524,0.519,77,198,0.389,195,326,0.598,0.593,92,118,0.78,77,199,276,184,42,22,80,149,713
305,Tre Mann,PG,21,OKC,67,5,1183,197,501,0.393,81,257,0.315,116,244,0.475,0.474,42,55,0.764,27,128,155,120,40,11,62,99,517
306,Boban Marjanović,C,34,HOU,31,0,171,41,60,0.683,0,1,0,41,59,0.695,0.683,20,27,0.741,20,40,60,9,5,2,14,10,102
307,Lauri Markkanen,PF,25,UTA,66,66,2273,571,1145,0.499,200,511,0.391,371,634,0.585,0.586,349,399,0.875,130,440,570,123,42,38,127,137,1691
308,Naji Marshall,SF,25,NOP,77,21,1792,247,571,0.433,66,218,0.303,181,353,0.513,0.49,138,175,0.789,48,231,279,189,54,14,97,113,698
309,Caleb Martin,SF,27,MIA,71,49,2077,254,548,0.464,84,236,0.356,170,312,0.545,0.54,91,113,0.805,88,256,344,117,71,31,78,145,683
310,Cody Martin,SF,27,CHO,7,0,134,14,36,0.389,3,14,0.214,11,22,0.5,0.431,4,7,0.571,8,16,24,11,4,1,2,13,35
311,Kenyon Martin Jr.,SF,22,HOU,82,49,2292,410,720,0.569,68,216,0.315,342,504,0.679,0.617,151,222,0.68,126,326,452,123,41,30,91,147,1039
312,Tyrese Martin,SG,23,ATL,16,0,66,9,23,0.391,1,7,0.143,8,16,0.5,0.413,2,2,1,5,7,12,2,1,0,2,2,21
313,Garrison Mathews,SG,26,TOT,54,0,686,73,201,0.363,63,180,0.35,10,21,0.476,0.52,48,53,0.906,11,62,73,26,24,5,19,62,257
313,Garrison Mathews,SG,26,HOU,45,0,602,60,170,0.353,53,155,0.342,7,15,0.467,0.509,41,45,0.911,10,52,62,23,23,4,18,56,214
313,Garrison Mathews,SG,26,ATL,9,0,84,13,31,0.419,10,25,0.4,3,6,0.5,0.581,7,8,0.875,1,10,11,3,1,1,1,6,43
314,Bennedict Mathurin,SG,20,IND,78,17,2222,413,951,0.434,100,310,0.323,313,641,0.488,0.487,376,454,0.828,87,231,318,116,48,13,152,162,1302
315,Wesley Matthews,SF,36,MIL,52,0,820,58,160,0.363,39,124,0.315,19,36,0.528,0.484,24,28,0.857,34,79,113,34,20,13,18,71,179
316,Tyrese Maxey,SG,22,PHI,60,41,2016,439,913,0.481,160,369,0.434,279,544,0.513,0.568,180,213,0.845,23,153,176,212,49,8,80,132,1218
317,Skylar Mays,PG,25,POR,6,6,189,34,68,0.5,12,26,0.462,22,42,0.524,0.588,12,13,0.923,2,17,19,50,6,1,10,11,92
