,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Season,FantasyPts
193,148,Simone Fontecchio,SF,27,UTA,52,6,766,115,312,0.369,63,191,0.33,52,121,0.43,0.47,35,44,0.795,31,55,86,42,15,8,39,62,328,2022-2023,524.2
194,149,Bryn Forbes,SG,29,MIN,25,0,268,30,83,0.361,14,46,0.304,16,37,0.432,0.446,15,15,1.0,4,11,15,17,7,2,12,22,89,2022-2023,147.5
195,150,Trent Forrest,SG,24,ATL,23,3,277,25,60,0.417,0,2,0.0,25,58,0.431,0.417,2,3,0.667,5,32,37,38,7,2,15,17,52,2022-2023,165.4
196,151,Michael Foster Jr.,PF,20,PHI,1,0,1,0,0,0.456,0,0,0.348,0,0,0.535,0.54,0,0,0.768,0,0,0,0,0,0,0,0,0,2022-2023,0.0
197,152,Evan Fournier,SG,30,NYK,27,7,459,56,166,0.337,35,114,0.307,21,52,0.404,0.443,18,21,0.857,4,45,49,36,16,3,22,46,165,2022-2023,312.8
198,153,De'Aaron Fox,PG,25,SAC,73,73,2435,682,1331,0.512,119,367,0.324,563,964,0.584,0.557,343,440,0.78,40,266,306,447,83,23,181,172,1826,2022-2023,3000.7
199,154,Markelle Fultz,PG,24,ORL,60,60,1778,349,679,0.514,27,87,0.31,322,592,0.544,0.534,112,143,0.783,69,165,234,341,87,26,139,131,837,2022-2023,1829.3
200,155,Wenyen Gabriel,C,25,LAL,68,2,1024,155,260,0.596,10,36,0.278,145,224,0.647,0.615,52,84,0.619,116,170,286,36,26,35,46,144,372,2022-2023,906.2
201,156,Daniel Gafford,C,24,WAS,78,47,1604,289,395,0.732,0,0,0.348,289,395,0.732,0.732,127,187,0.679,163,270,433,84,33,99,85,187,705,2022-2023,1661.6
202,157,Darius Garland,PG,23,CLE,69,69,2447,522,1129,0.462,169,412,0.41,353,717,0.492,0.537,277,321,0.863,28,157,185,538,85,9,199,148,1490,2022-2023,2602.0
203,158,Usman Garuba,C,20,HOU,75,1,970,86,177,0.486,24,59,0.407,62,118,0.525,0.554,29,47,0.617,120,187,307,64,44,29,47,135,225,2022-2023,861.4
204,159,Luka Garza,C,24,MIN,28,0,243,63,116,0.543,14,39,0.359,49,77,0.636,0.603,41,52,0.788,33,30,63,18,3,2,14,43,181,2022-2023,284.6
205,160,Rudy Gay,PF,36,UTA,56,0,816,109,287,0.38,33,130,0.254,76,157,0.484,0.437,42,49,0.857,33,130,163,57,19,18,37,68,293,2022-2023,648.1
206,161,Paul George,SF,32,LAC,56,56,1939,459,1004,0.457,158,426,0.371,301,578,0.521,0.536,256,294,0.871,45,297,342,288,83,20,176,159,1332,2022-2023,2307.4
207,162,Taj Gibson,C,37,WAS,49,2,480,65,125,0.52,8,24,0.333,57,101,0.564,0.552,30,42,0.714,32,61,93,34,15,12,26,84,168,2022-2023,385.6
208,163,Josh Giddey,PF,20,OKC,76,76,2367,539,1118,0.482,76,234,0.325,463,884,0.524,0.516,106,145,0.731,148,451,599,469,57,31,211,143,1260,2022-2023,2735.3
209,164,Shai Gilgeous-Alexander,PG,24,OKC,68,68,2416,704,1381,0.51,58,168,0.345,646,1213,0.533,0.531,669,739,0.905,59,270,329,371,112,65,192,192,2135,2022-2023,3425.3
210,165,Anthony Gill,PF,30,WAS,59,8,624,71,132,0.538,4,29,0.138,67,103,0.65,0.553,49,67,0.731,37,62,99,34,7,12,15,70,195,2022-2023,406.8
211,166,Jacob Gilyard,PG,24,MEM,1,0,41,1,3,0.333,1,3,0.333,0,0,0.535,0.5,0,0,0.768,0,4,4,7,3,0,2,3,3,2022-2023,25.3
212,167,Rudy Gobert,C,30,MIN,70,70,2148,360,546,0.659,0,3,0.0,360,543,0.663,0.659,219,340,0.644,231,583,814,87,56,95,122,210,939,2022-2023,2377.3
213,168,Jordan Goodwin,PG,24,WAS,62,7,1106,158,353,0.448,38,118,0.322,120,235,0.511,0.501,53,69,0.768,57,148,205,168,58,26,57,95,407,2022-2023,1100.0
214,169,Aaron Gordon,PF,27,DEN,68,68,2055,429,761,0.564,60,173,0.347,369,588,0.628,0.603,191,314,0.608,164,282,446,203,54,51,98,129,1109,2022-2023,2165.7
215,170,Eric Gordon,SG,34,TOT,69,58,1965,291,653,0.446,132,356,0.371,159,297,0.535,0.547,142,173,0.821,16,118,134,183,43,25,104,78,856,2022-2023,1391.3
218,171,Devonte' Graham,PG,27,TOT,73,8,1338,161,431,0.374,119,338,0.352,42,93,0.452,0.512,98,131,0.748,19,103,122,196,45,16,53,79,539,2022-2023,1109.4
221,172,Jerami Grant,PF,28,POR,63,63,2246,434,913,0.475,144,359,0.401,290,554,0.523,0.554,278,342,0.813,53,230,283,150,51,53,116,152,1290,2022-2023,2050.6
222,173,RaiQuan Gray,PF,23,BRK,1,0,35,6,12,0.5,2,5,0.4,4,7,0.571,0.583,2,2,1.0,3,6,9,7,0,1,4,5,16,2022-2023,36.3
223,174,A.J. Green,SG,23,MIL,35,1,345,53,125,0.424,44,105,0.419,9,20,0.45,0.6,4,4,1.0,6,39,45,22,6,0,9,31,154,2022-2023,250.0
224,175,Danny Green,SG,35,TOT,11,0,138,22,49,0.449,16,37,0.432,6,12,0.5,0.612,1,1,1.0,3,11,14,6,6,3,10,16,61,2022-2023,103.8
227,176,Draymond Green,PF,32,GSW,73,73,2297,250,474,0.527,40,131,0.305,210,343,0.612,0.57,77,108,0.713,66,459,525,500,74,60,204,229,617,2022-2023,2195.0
228,177,Jalen Green,SG,20,HOU,76,76,2602,566,1359,0.416,187,554,0.338,379,805,0.471,0.485,364,463,0.786,43,241,284,281,59,18,200,131,1683,2022-2023,2476.3
229,178,JaMychal Green,PF,32,GSW,57,1,797,136,252,0.54,42,111,0.378,94,141,0.667,0.623,52,67,0.776,72,133,205,51,25,23,52,105,366,2022-2023,780.5
230,179,Javonte Green,SF,29,CHI,32,1,480,61,108,0.565,13,35,0.371,48,73,0.658,0.625,30,45,0.667,27,61,88,23,24,21,20,52,165,2022-2023,420.1
231,180,Jeff Green,PF,36,DEN,56,4,1091,160,328,0.488,30,104,0.288,130,224,0.58,0.534,87,117,0.744,38,106,144,69,18,17,46,99,437,2022-2023,772.3
232,181,Josh Green,SG,22,DAL,60,21,1539,205,382,0.537,68,169,0.402,137,213,0.643,0.626,68,94,0.723,55,127,182,103,42,5,72,156,546,2022-2023,987.9000000000001
233,182,AJ Griffin,SF,19,ATL,72,12,1401,248,533,0.465,101,259,0.39,147,274,0.536,0.56,42,47,0.894,37,116,153,73,42,12,42,87,639,2022-2023,1052.1
234,183,Blake Griffin,C,33,BOS,41,16,569,63,130,0.485,23,66,0.348,40,64,0.625,0.573,21,32,0.656,47,108,155,61,14,9,22,75,170,2022-2023,494.5
235,184,Quentin Grimes,SG,22,NYK,71,66,2121,282,602,0.468,157,407,0.386,125,195,0.641,0.599,78,98,0.796,49,180,229,150,47,26,69,177,799,2022-2023,1448.8
236,185,Rui Hachimura,PF,24,TOT,63,9,1466,284,584,0.486,51,160,0.319,233,424,0.55,0.53,88,119,0.739,53,230,283,58,19,26,53,72,707,2022-2023,1215.6
239,186,Tyrese Haliburton,PG,22,IND,56,56,1883,412,841,0.49,161,402,0.4,251,439,0.572,0.586,175,201,0.871,33,172,205,585,91,25,141,69,1160,2022-2023,2490.5
240,187,Jordan Hall,SF,21,SAS,9,0,83,9,28,0.321,3,15,0.2,6,13,0.462,0.375,7,9,0.778,3,9,12,11,1,0,7,6,28,2022-2023,54.9
241,188,R.J. Hampton,SG,21,TOT,47,3,750,102,237,0.43,41,116,0.353,61,121,0.504,0.517,57,76,0.75,18,69,87,54,27,9,42,51,302,2022-2023,553.4
244,189,Tim Hardaway Jr.,SF,30,DAL,71,45,2152,340,847,0.401,212,550,0.385,128,297,0.431,0.527,127,165,0.77,21,230,251,129,49,12,60,120,1019,2022-2023,1636.7
245,190,James Harden,PG,33,PHI,58,58,2135,371,842,0.441,161,418,0.385,210,424,0.495,0.536,313,361,0.867,40,314,354,618,71,31,195,112,1216,2022-2023,2678.8
246,191,Jaden Hardy,SG,20,DAL,48,5,708,146,333,0.438,63,156,0.404,83,177,0.469,0.533,65,79,0.823,11,78,89,65,17,7,46,64,420,2022-2023,650.3
247,192,Ron Harper Jr.,PF,22,TOR,9,0,48,8,16,0.5,3,9,0.333,5,7,0.714,0.594,1,1,1.0,3,4,7,4,0,1,0,3,20,2022-2023,37.4
248,193,Montrezl Harrell,C,29,PHI,57,7,681,125,209,0.598,0,6,0.0,125,203,0.616,0.598,70,101,0.693,67,92,159,33,17,25,35,75,320,2022-2023,651.3
249,194,Gary Harris,SG,28,ORL,48,42,1184,138,307,0.45,94,218,0.431,44,89,0.494,0.603,27,30,0.9,21,77,98,59,45,12,28,93,397,2022-2023,746.1
250,195,Joe Harris,SF,31,BRK,74,33,1527,201,440,0.457,142,333,0.426,59,107,0.551,0.618,18,28,0.643,23,141,164,101,34,13,41,140,562,2022-2023,1010.3
251,196,Kevon Harris,SG,25,ORL,34,0,457,47,107,0.439,16,43,0.372,31,64,0.484,0.514,31,41,0.756,28,42,70,16,17,5,21,53,141,2022-2023,294.0
252,197,Tobias Harris,SF,30,PHI,74,74,2436,423,845,0.501,126,324,0.389,297,521,0.57,0.575,113,129,0.876,67,357,424,186,68,40,89,149,1085,2022-2023,2107.8
253,198,Shaquille Harrison,SG,29,POR,5,0,120,15,36,0.417,3,10,0.3,12,26,0.462,0.458,11,15,0.733,1,21,22,30,11,2,6,12,44,2022-2023,148.4
254,199,Josh Hart,SF,27,TOT,76,52,2454,275,520,0.529,61,164,0.372,214,356,0.601,0.588,132,176,0.75,142,451,593,290,88,21,117,195,743,2022-2023,2099.6
257,200,Isaiah Hartenstein,C,24,NYK,82,8,1626,175,327,0.535,8,37,0.216,167,290,0.576,0.547,48,71,0.676,209,327,536,102,53,64,66,213,406,2022-2023,1487.1999999999998
258,201,Udonis Haslem,C,42,MIA,7,1,71,10,29,0.345,3,9,0.333,7,20,0.35,0.397,4,5,0.8,4,7,11,0,1,2,1,11,27,2022-2023,48.2
259,202,Sam Hauser,SF,25,BOS,80,8,1290,180,396,0.455,140,335,0.418,40,61,0.656,0.631,12,17,0.706,35,169,204,71,29,21,30,99,512,2022-2023,983.3
260,203,Jaxson Hayes,C,22,NOP,47,2,610,86,156,0.551,3,29,0.103,83,127,0.654,0.561,58,83,0.699,39,93,132,34,20,19,31,67,233,2022-2023,528.4
261,204,Killian Hayes,PG,21,DET,76,56,2154,307,815,0.377,80,286,0.28,227,529,0.429,0.426,92,112,0.821,28,193,221,470,104,28,173,219,786,2022-2023,1979.1999999999998
262,205,Gordon Hayward,SF,32,CHO,50,50,1577,276,581,0.475,52,160,0.325,224,421,0.532,0.52,129,159,0.811,33,182,215,206,42,12,99,70,733,2022-2023,1363.0
263,206,Juancho Hernangómez,PF,27,TOR,42,10,614,48,114,0.421,17,67,0.254,31,47,0.66,0.496,9,16,0.563,27,96,123,25,16,6,15,43,122,2022-2023,358.1
264,207,Willy Hernangómez,C,28,NOP,38,2,458,89,169,0.527,3,11,0.273,86,158,0.544,0.536,81,104,0.779,58,122,180,33,17,13,39,64,262,2022-2023,578.5
265,208,Tyler Herro,SG,23,MIA,67,67,2337,487,1109,0.439,203,537,0.378,284,572,0.497,0.531,170,182,0.934,27,333,360,280,51,16,158,101,1347,2022-2023,2242.0
266,209,Buddy Hield,SF,30,IND,80,73,2482,475,1038,0.458,288,677,0.425,187,361,0.518,0.596,106,129,0.822,67,333,400,225,92,26,139,156,1344,2022-2023,2376.5
267,210,Haywood Highsmith,PF,26,MIA,54,11,969,93,216,0.431,37,109,0.339,56,107,0.523,0.516,13,28,0.464,57,131,188,43,36,17,45,82,236,2022-2023,640.1
268,211,George Hill,PG-SG,36,TOT,46,1,834,78,166,0.47,34,95,0.358,44,71,0.62,0.572,42,55,0.764,15,70,85,110,26,6,34,55,232,2022-2023,561.0
271,212,Malcolm Hill,SF,27,CHI,5,0,9,2,4,0.5,1,3,0.333,1,1,1.0,0.625,0,0,0.768,0,3,3,0,0,0,0,1,5,2022-2023,8.6
272,213,Aaron Holiday,PG,26,ATL,63,6,845,92,220,0.418,36,88,0.409,56,132,0.424,0.5,27,32,0.844,25,49,74,89,37,12,36,79,247,2022-2023,580.3
273,214,Jrue Holiday,PG,32,MIL,67,65,2183,490,1023,0.479,158,411,0.384,332,612,0.542,0.556,152,177,0.859,79,262,341,495,79,25,197,116,1290,2022-2023,2556.7
274,215,Justin Holiday,SF,33,TOT,46,2,706,77,204,0.377,46,143,0.322,31,61,0.508,0.49,5,8,0.625,5,50,55,41,19,19,22,68,205,2022-2023,424.5
277,216,Richaun Holmes,C,29,SAC,42,1,348,55,89,0.618,5,8,0.625,50,81,0.617,0.646,15,19,0.789,29,51,80,9,3,11,14,50,130,2022-2023,267.5
278,217,Al Horford,C,36,BOS,63,63,1922,228,479,0.476,145,325,0.446,83,154,0.539,0.627,15,21,0.714,73,317,390,189,30,61,37,121,616,2022-2023,1603.5
279,218,Talen Horton-Tucker,SG,22,UTA,65,20,1313,257,613,0.419,58,203,0.286,199,410,0.485,0.467,126,168,0.75,41,169,210,246,41,29,126,108,698,2022-2023,1403.0
280,219,Danuel House Jr.,SF,29,PHI,56,5,807,93,197,0.472,37,110,0.336,56,87,0.644,0.566,45,60,0.75,9,85,94,44,14,9,26,69,268,2022-2023,489.79999999999995
281,220,Caleb Houstan,SF,20,ORL,51,4,812,66,182,0.363,46,136,0.338,20,46,0.435,0.489,15,18,0.833,34,65,99,30,12,7,18,63,193,2022-2023,395.8
282,221,Trevor Hudgins,PG,23,HOU,5,0,28,2,9,0.222,2,8,0.25,0,1,0.0,0.333,3,3,1.0,0,0,0,3,0,0,1,1,9,2022-2023,12.5
283,222,Kevin Huerter,SG,24,SAC,75,75,2203,420,866,0.485,205,510,0.402,215,356,0.604,0.603,95,131,0.725,42,209,251,221,80,24,97,181,1140,2022-2023,1987.6999999999998
284,223,Jay Huff,C,24,WAS,7,0,95,15,25,0.6,6,12,0.5,9,13,0.692,0.72,15,16,0.938,6,15,21,10,3,4,5,15,51,2022-2023,107.2
285,224,De'Andre Hunter,SF,25,ATL,67,67,2126,379,822,0.461,100,286,0.35,279,536,0.521,0.522,171,207,0.826,46,238,284,94,35,17,82,199,1029,2022-2023,1584.8
286,225,Bones Hyland,PG,22,TOT,56,1,1085,228,571,0.399,117,315,0.371,111,256,0.434,0.502,86,102,0.843,20,115,135,172,39,15,82,96,659,2022-2023,1159.0
289,226,Serge Ibaka,C,33,MIL,16,0,185,26,54,0.481,6,18,0.333,20,36,0.556,0.537,8,13,0.615,15,29,44,4,2,7,11,23,66,2022-2023,140.8
290,227,Andre Iguodala,PF,39,GSW,8,0,113,7,15,0.467,1,9,0.111,6,6,1.0,0.5,2,3,0.667,3,14,17,19,4,3,9,11,17,2022-2023,77.9
291,228,Joe Ingles,SF,35,MIL,46,0,1044,108,248,0.435,83,203,0.409,25,45,0.556,0.603,18,21,0.857,13,115,128,150,33,6,55,74,317,2022-2023,757.6
292,229,Brandon Ingram,SF,25,NOP,45,45,1538,404,835,0.484,64,164,0.39,340,671,0.507,0.522,240,272,0.882,23,223,246,262,32,19,148,116,1112,2022-2023,1805.2
293,230,Kyrie Irving,PG-SG,30,TOT,60,60,2241,594,1203,0.494,188,496,0.379,406,707,0.574,0.572,247,273,0.905,59,245,304,331,66,45,128,165,1623,2022-2023,2689.3
296,231,Jonathan Isaac,PF,25,ORL,11,0,124,22,53,0.415,6,15,0.4,16,38,0.421,0.472,5,9,0.556,15,29,44,6,14,4,4,5,55,2022-2023,166.8
297,232,Jaden Ivey,SG,20,DET,74,73,2304,409,983,0.416,120,350,0.343,289,633,0.457,0.477,266,356,0.747,73,215,288,387,61,17,237,242,1204,2022-2023,2127.1
298,233,Frank Jackson,PG,24,UTA,1,0,5,0,3,0.0,0,1,0.0,0,2,0.0,0.0,0,0,0.768,1,1,2,1,0,0,0,0,0,2022-2023,3.9
299,234,Isaiah Jackson,C,21,IND,63,12,1042,179,318,0.563,2,14,0.143,177,304,0.582,0.566,95,146,0.651,113,169,282,51,31,93,51,154,455,2022-2023,1190.9
300,235,Jaren Jackson Jr.,C,23,MEM,63,63,1787,416,822,0.506,100,282,0.355,316,540,0.585,0.567,241,306,0.788,108,318,426,60,65,189,107,227,1173,2022-2023,2429.2
301,236,Justin Jackson,SF,27,BOS,23,0,107,7,27,0.259,5,20,0.25,2,7,0.286,0.352,1,2,0.5,2,15,17,9,4,4,2,7,20,2022-2023,75.9
302,237,Quenton Jackson,PG,24,WAS,9,0,135,19,42,0.452,1,12,0.083,18,30,0.6,0.464,17,22,0.773,2,6,8,15,4,1,4,10,56,2022-2023,99.1
303,238,Reggie Jackson,PG,32,TOT,68,40,1657,263,640,0.411,96,288,0.333,167,352,0.474,0.486,71,78,0.91,25,119,144,233,47,6,115,114,693,2022-2023,1259.3
306,239,LeBron James,PF,38,LAL,55,54,1954,609,1219,0.5,121,377,0.321,488,842,0.58,0.549,251,327,0.768,65,392,457,375,50,32,178,88,1590,2022-2023,2768.9
307,240,Ty Jerome,SG,25,GSW,45,2,816,118,242,0.488,35,90,0.389,83,152,0.546,0.56,38,41,0.927,7,71,78,135,23,5,30,64,309,2022-2023,659.1
308,241,Isaiah Joe,SG,23,OKC,73,10,1395,224,508,0.441,161,394,0.409,63,114,0.553,0.599,82,100,0.82,27,148,175,88,48,8,39,105,691,2022-2023,1162.0
309,242,Alize Johnson,PF,26,SAS,4,0,30,3,6,0.5,0,2,0.0,3,4,0.75,0.5,1,2,0.5,2,8,10,1,1,0,4,3,7,2022-2023,19.5
310,243,Cameron Johnson,PF,26,TOT,42,41,1199,223,474,0.47,103,255,0.404,120,219,0.548,0.579,101,120,0.842,34,151,185,78,50,14,37,83,650,2022-2023,1144.0
313,244,Jalen Johnson,SF,21,ATL,70,6,1042,158,322,0.491,30,104,0.288,128,218,0.587,0.537,49,78,0.628,51,231,282,83,38,34,41,113,395,2022-2023,1032.9
314,245,James Johnson,PF,35,IND,18,1,162,22,49,0.449,3,15,0.2,19,34,0.559,0.48,4,8,0.5,4,26,30,15,7,6,8,32,51,2022-2023,140.5
315,246,Keldon Johnson,SF,23,SAS,63,63,2063,503,1113,0.452,134,407,0.329,369,706,0.523,0.512,245,327,0.749,56,262,318,183,46,11,134,125,1385,2022-2023,2078.1
316,247,Keon Johnson,SG,20,POR,40,0,416,67,178,0.376,28,81,0.346,39,97,0.402,0.455,27,41,0.659,11,33,44,59,19,6,43,43,189,2022-2023,362.3
317,248,Stanley Johnson,SF,26,SAS,30,0,469,65,122,0.533,18,40,0.45,47,82,0.573,0.607,26,39,0.667,22,73,95,67,16,6,33,48,174,2022-2023,421.5
318,249,Nikola Jokić,C,27,DEN,69,69,2323,646,1022,0.632,57,149,0.383,589,873,0.675,0.66,341,415,0.822,167,650,817,678,87,47,247,174,1690,2022-2023,3842.4
319,250,Carlik Jones,PG,25,CHI,7,0,56,6,15,0.4,3,6,0.5,3,9,0.333,0.5,5,8,0.625,1,4,5,6,2,0,2,2,20,2022-2023,39.0
320,251,Damian Jones,C,27,TOT,41,1,477,55,86,0.64,10,17,0.588,45,69,0.652,0.698,22,29,0.759,42,80,122,15,8,21,23,55,142,2022-2023,374.9
323,252,Derrick Jones Jr.,PF,25,CHI,64,0,893,115,230,0.5,27,80,0.338,88,150,0.587,0.559,62,84,0.738,60,93,153,34,29,37,25,86,319,2022-2023,726.6
324,253,Herbert Jones,PF,24,NOP,66,66,1951,235,501,0.469,56,167,0.335,179,334,0.536,0.525,123,161,0.764,97,172,269,162,103,42,88,208,649,2022-2023,1561.8
325,254,Kai Jones,C,22,CHO,46,0,550,67,120,0.558,4,19,0.211,63,101,0.624,0.575,19,26,0.731,37,86,123,15,17,30,31,65,157,2022-2023,437.1
326,255,Tre Jones,PG,23,SAS,68,65,1984,341,743,0.459,45,158,0.285,296,585,0.506,0.489,148,172,0.86,56,189,245,448,89,9,110,98,875,2022-2023,2025.0
327,256,Tyus Jones,PG,26,MEM,80,22,1940,311,710,0.438,121,326,0.371,190,384,0.495,0.523,80,100,0.8,28,172,200,417,83,6,74,32,823,2022-2023,1881.5
328,257,DeAndre Jordan,C,34,DEN,39,8,586,88,115,0.765,1,1,1.0,87,114,0.763,0.77,22,48,0.458,52,150,202,34,12,23,48,71,199,2022-2023,549.4
329,258,Cory Joseph,PG,31,DET,62,2,1227,150,351,0.427,70,180,0.389,80,171,0.468,0.527,57,72,0.792,21,85,106,217,34,9,56,88,427,2022-2023,952.7
330,259,Nikola Jović,PF,19,MIA,15,8,204,28,69,0.406,8,35,0.229,20,34,0.588,0.464,18,19,0.947,9,22,31,10,7,2,10,19,82,2022-2023,151.2
331,260,Johnny Juzang,SG,21,UTA,18,0,232,35,104,0.337,15,63,0.238,20,41,0.488,0.409,2,4,0.5,8,31,39,8,4,3,3,13,87,2022-2023,163.8
332,261,Mfiondu Kabengele,PF,25,BOS,4,0,36,2,7,0.286,0,3,0.0,2,4,0.5,0.286,2,2,1.0,5,5,10,0,2,0,1,3,6,2022-2023,23.0
333,262,Frank Kaminsky,C,29,TOT,36,0,235,31,63,0.492,13,33,0.394,18,30,0.6,0.595,14,16,0.875,7,45,52,32,6,4,9,22,89,2022-2023,220.4
336,263,Trevor Keels,SG,19,NYK,3,0,8,1,4,0.25,1,4,0.25,0,0,0.535,0.375,0,0,0.768,0,2,2,0,0,0,0,0,3,2022-2023,5.4
337,264,Luke Kennard,SG,26,TOT,59,14,1315,188,382,0.492,133,269,0.494,55,113,0.487,0.666,37,39,0.949,15,143,158,91,32,5,46,82,546,2022-2023,937.1
340,265,Walker Kessler,C,21,UTA,74,40,1703,298,414,0.72,1,3,0.333,297,411,0.723,0.721,82,159,0.516,231,389,620,69,26,173,58,169,679,2022-2023,2065.5
341,266,Braxton Key,SF,25,DET,3,0,9,1,1,1.0,0,0,0.348,1,1,1.0,1.0,2,2,1.0,0,1,1,0,0,0,0,0,4,2022-2023,5.2
342,267,Louis King,PF,23,PHI,1,0,29,8,13,0.615,4,8,0.5,4,5,0.8,0.769,0,1,0.0,2,2,4,2,1,0,2,4,20,2022-2023,28.8
343,268,Corey Kispert,SF,23,WAS,74,45,2093,291,585,0.497,163,384,0.424,128,201,0.637,0.637,75,88,0.852,33,174,207,87,32,9,55,97,820,2022-2023,1266.9
344,269,Maxi Kleber,PF,31,DAL,37,5,930,77,169,0.456,39,112,0.348,38,57,0.667,0.571,27,38,0.711,30,105,135,52,12,30,27,85,220,2022-2023,559.0
345,270,Nathan Knight,C,25,MIN,38,0,291,46,81,0.568,8,22,0.364,38,59,0.644,0.617,39,57,0.684,22,34,56,13,10,6,21,41,139,2022-2023,252.7
346,271,Kevin Knox,SF-PF,23,TOT,63,5,952,152,332,0.458,65,186,0.349,87,146,0.596,0.556,46,60,0.767,34,143,177,33,24,12,50,95,415,2022-2023,734.9
349,272,Christian Koloko,C,22,TOR,58,19,802,72,150,0.48,1,12,0.083,71,138,0.514,0.483,37,59,0.627,84,87,171,31,21,57,20,128,182,2022-2023,647.7
350,273,John Konchar,SF,26,MEM,72,23,1494,138,320,0.431,60,177,0.339,78,143,0.545,0.525,28,36,0.778,64,246,310,100,77,25,37,112,364,2022-2023,1155.0
351,274,Furkan Korkmaz,SG,25,PHI,37,0,353,48,111,0.432,18,46,0.391,30,65,0.462,0.514,26,36,0.722,6,36,42,22,10,3,24,18,140,2022-2023,238.39999999999998
352,275,Luke Kornet,C,27,BOS,69,0,804,113,170,0.665,3,13,0.231,110,157,0.701,0.674,32,39,0.821,86,111,197,53,11,46,25,81,261,2022-2023,722.9
353,276,Vit Krejci,PG,22,ATL,29,0,165,15,37,0.405,5,21,0.238,10,16,0.625,0.473,1,2,0.5,6,20,26,17,5,1,5,17,36,2022-2023,105.7
354,277,Jonathan Kuminga,PF,20,GSW,67,16,1394,261,497,0.525,54,146,0.37,207,351,0.59,0.579,90,138,0.652,70,161,231,125,41,31,95,157,666,2022-2023,1251.7
355,278,Kyle Kuzma,PF,27,WAS,64,64,2239,512,1142,0.448,160,481,0.333,352,661,0.533,0.518,173,237,0.73,55,408,463,239,36,29,190,145,1357,2022-2023,2276.1
356,279,Anthony Lamb,SF,25,GSW,62,4,1195,148,314,0.471,73,199,0.367,75,115,0.652,0.588,46,60,0.767,56,159,215,96,28,20,54,134,415,2022-2023,907.0
357,280,Jock Landale,C,27,PHO,69,4,979,178,337,0.528,21,84,0.25,157,253,0.621,0.559,79,105,0.752,119,161,280,68,16,30,59,126,456,2022-2023,973.0
358,281,Romeo Langford,SG,23,SAS,43,21,844,121,259,0.467,16,61,0.262,105,198,0.53,0.498,39,56,0.696,57,57,114,50,24,13,30,67,297,2022-2023,589.8
359,282,Jake LaRavia,PF,21,MEM,35,0,414,37,95,0.389,24,71,0.338,13,24,0.542,0.516,7,9,0.778,19,44,63,21,12,4,18,49,105,2022-2023,242.10000000000002
360,283,Zach LaVine,SG,27,CHI,77,77,2768,673,1388,0.485,204,544,0.375,469,844,0.556,0.558,363,428,0.848,42,303,345,327,69,18,194,159,1913,2022-2023,2884.5
361,284,A.J. Lawson,SG,22,TOT,15,0,108,22,44,0.5,10,25,0.4,12,19,0.632,0.614,2,8,0.25,6,15,21,2,2,0,3,11,56,2022-2023,87.2
364,285,Damion Lee,SG,30,PHO,74,5,1506,200,452,0.442,110,247,0.445,90,205,0.439,0.564,94,104,0.904,39,186,225,99,30,7,78,118,604,2022-2023,1055.5
365,286,Saben Lee,PG,23,TOT,25,1,373,49,121,0.405,11,30,0.367,38,91,0.418,0.45,42,57,0.737,13,32,45,67,19,1,24,32,151,2022-2023,341.5
368,287,Alex Len,C,29,SAC,26,2,161,16,30,0.533,0,2,0.0,16,28,0.571,0.533,11,16,0.688,24,36,60,12,4,11,16,28,43,2022-2023,162.0
369,288,Kawhi Leonard,SF,31,LAC,52,50,1748,446,871,0.512,104,250,0.416,342,621,0.551,0.572,243,279,0.871,57,281,338,204,72,28,88,84,1239,2022-2023,2162.6
370,289,Meyers Leonard,C,30,MIL,9,2,114,14,29,0.483,7,18,0.389,7,11,0.636,0.603,8,9,0.889,12,22,34,1,2,0,6,16,43,2022-2023,85.3
371,290,Caris LeVert,SG,28,CLE,74,30,2237,320,742,0.431,127,324,0.392,193,418,0.462,0.517,130,180,0.722,53,229,282,287,72,24,116,170,897,2022-2023,1837.9
372,291,Kira Lewis Jr.,PG,21,NOP,25,0,235,40,88,0.455,15,34,0.441,25,54,0.463,0.54,19,22,0.864,5,28,33,23,10,2,10,24,114,2022-2023,214.1
373,292,Damian Lillard,PG,32,POR,58,58,2107,556,1202,0.463,244,658,0.371,312,544,0.574,0.564,510,558,0.914,44,233,277,425,50,18,191,109,1866,2022-2023,2848.9
374,293,Nassir Little,SF,22,POR,54,4,976,134,303,0.442,58,158,0.367,76,145,0.524,0.538,33,46,0.717,27,114,141,50,20,20,36,66,359,2022-2023,687.2
375,294,Isaiah Livers,PF,24,DET,52,22,1199,120,288,0.417,74,203,0.365,46,85,0.541,0.545,32,39,0.821,28,115,143,41,28,28,30,103,346,2022-2023,717.1
376,295,Kenneth Lofton Jr.,PF,20,MEM,24,1,176,49,93,0.527,6,17,0.353,43,76,0.566,0.559,16,27,0.593,19,32,51,20,5,2,12,28,120,2022-2023,220.2
377,296,Kevon Looney,C,26,GSW,82,70,1958,242,384,0.63,0,1,0.0,242,383,0.632,0.63,94,155,0.606,274,486,760,207,52,50,45,225,578,2022-2023,2061.5
